inputsize, time
20, 0.000005
40, 0.000009
60, 0.000020
80, 0.000030
100, 0.000049
120, 0.000066
140, 0.000087
160, 0.000116
180, 0.000141
200, 0.000168
220, 0.000205
240, 0.000242
260, 0.000280
280, 0.000315
300, 0.000359
320, 0.000408
340, 0.000453
360, 0.000496
380, 0.000573
400, 0.000620
420, 0.000688
440, 0.000754
460, 0.000842
480, 0.000893
500, 0.000918
520, 0.000993
540, 0.001077
560, 0.001294
580, 0.001587
600, 0.001310
620, 0.001399
640, 0.001553
660, 0.001724
680, 0.001745
700, 0.001872
720, 0.001842
740, 0.002709
760, 0.002253
780, 0.002224
800, 0.002685
820, 0.002462
840, 0.002653
860, 0.002816
880, 0.002849
900, 0.002837
920, 0.003203
940, 0.003119
960, 0.003305
980, 0.003740
1000, 0.003555
